,Make,Model,Variant,Ex-Showroom_Price,Drivetrain,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Length,Body_Type,Doors,ARAI_Certified_Mileage,Seating_Capacity,Type,Battery,Electric_Range
1251,,Mercedes-Benz Glc,200 Progressive,"2,92,667",RWD ,BS 6,66 litres,Petrol,4658 mm,SUV,5,13.51 km/litre,5,Automatic,,
1252,,Mercedes-Benz Glc,220D 4Matic Progressive,"2,92,667",AWD ,BS 6,50 litres,Diesel,4658 mm,SUV,5,18.18 km/litre,5,Automatic,,
1253,Porsche,Cayenne Coupe,Base,"2,92,667",AWD ,BS 6,75 litres,Petrol,4931 mm,,,11.6 km/litre,,Automatic,,
1254,Porsche,Cayenne Coupe,Turbo,"2,92,667",AWD ,BS 6,90 litres,Petrol,4931 mm,,,15.3 km/litre,,Automatic,,
1255,Mahindra,Verito,1.5 D2,"2,92,667",FWD ,BS IV,50 litres,Diesel,4277 mm,Sedan,4,21 km/litre,5,Manual,,
1256,Mahindra,Verito,1.5 D4 Bs-Iv,"2,92,667",FWD ,BS IV,50 litres,Diesel,4277 mm,Sedan,4,21 km/litre,5,Manual,,
1257,Mahindra,Verito,1.5 D6 Bs-Iv,"2,92,667",FWD ,BS IV,50 litres,Diesel,4277 mm,Sedan,4,21 km/litre,5,Manual,,
1258,Mitsubishi,Pajero Sport,2.5 Mt,"2,92,667",RWD ,BS IV,70 litres,Diesel,4695 mm,SUV,5,10.77 km/litre,7,Manual,,
1259,Mitsubishi,Pajero Sport,2.5 At,"2,92,667",RWD ,BS IV,70 litres,Diesel,4695 mm,SUV,5,10.77 km/litre,7,Automatic,,
1260,Mitsubishi,Pajero Sport,Limited Edition,"2,92,667",4WD,BS IV,70 litres,Diesel,4695 mm,SUV,5,10.77 km/litre,7,Manual,,
1261,Mitsubishi,Pajero Sport,Select Plus Mt,"2,92,667",RWD ,BS IV,70 litres,Diesel,4695 mm,SUV,5,10.77 km/litre,7,Manual,,
1262,Mitsubishi,Pajero Sport,Select Plus At,"2,92,667",RWD ,BS IV,70 litres,Diesel,4695 mm,SUV,5,10.77 km/litre,7,Automatic,,
1263,Bentley,Flying Spur,V8,"2,92,667",AWD ,BS IV,90 litres,Petrol,5299 mm,Sedan,4,4 km/litre,4,Automatic,,
1264,Bentley,Flying Spur,W12,"2,92,667",AWD ,BS IV,90 litres,Petrol,5299 mm,Sedan,4,4 km/litre,4,Automatic,,
1265,Honda,City,Sv Mt Petrol,"2,92,667",FWD ,BS 6,40 litres,Petrol,4440 mm,Sedan,4,17.4 km/litre,5,Manual,,
1266,Honda,City,V Mt Petrol,"2,92,667",FWD ,BS 6,40 litres,Petrol,4440 mm,Sedan,4,17.8 km/litre,5,Manual,,
1267,Honda,City,Vx Mt Petrol,"2,92,667",FWD ,BS 6,40 litres,Petrol,4440 mm,Sedan,4,17.4 km/litre,5,Manual,,
1268,Honda,City,Vx Cvt Petrol,"2,92,667",FWD ,BS 6,40 litres,Petrol,4440 mm,Sedan,4,18 km/litre,5,Automatic,,
1269,Honda,City,Sv Mt Diesel,"2,92,667",FWD ,BS IV,40 litres,Diesel,4440 mm,Sedan,4,25.6 km/litre,5,Manual,,
1270,Honda,City,V Mt Diesel,"2,92,667",FWD ,BS IV,40 litres,Diesel,4440 mm,Sedan,4,25.6 km/litre,5,Manual,,
1271,Honda,City,Vx Mt Diesel,"2,92,667",FWD ,BS IV,40 litres,Diesel,4440 mm,Sedan,4,25.1 km/litre,5,Manual,,
1272,Honda,City,Zx Mt Diesel,"2,92,667",FWD ,BS IV,40 litres,Diesel,4440 mm,Sedan,4,25.1 km/litre,5,Manual,,
1273,Honda,City,Zx Cvt Petrol,"2,92,667",FWD ,BS 6,40 litres,Petrol,4440 mm,Sedan,4,22.6 km/litre,5,Automatic,,
1274,Honda,City,V Cvt Petrol,"2,92,667",FWD ,BS 6,40 litres,Petrol,4440 mm,Sedan,4,17.8 km/litre,5,Automatic,,
1275,Mitsubishi,Montero,3.2 At,"2,92,667",AWD ,BS IV,88 litres,Diesel,4900 mm,SUV,5,11.56 km/litre,7,Automatic,,
